tag,description,qty,unit,sheet_id,table_title,bbox_px
ET-CHW-A1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,EXPANSION TANK SCHEDULE,"437.04,2781.6,661.92,2815.92"
ET-CHW-MT1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,EXPANSION TANK SCHEDULE,"361.68,2823.12,505.68,2857.68"
ET-HHW-A1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,EXPANSION TANK SCHEDULE,"437.04,2815.92,661.92,2850.48"
ET-HW-MT1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,EXPANSION TANK SCHEDULE,"361.68,2857.68,505.68,2892.24"
