tag,description,qty,unit,sheet_id,table_title,bbox_px
CV-VAV-A107-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,1508.16,2770.56,1542.72"
CV-VAV-A108A-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,1542.72,2770.56,1577.28"
CV-VAV-A108B-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,1577.28,2770.56,1611.84"
CV-VAV-A109-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,1611.84,2770.56,1646.16"
CV-VAV-A110-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,1646.16,2770.56,1680.72"
CV-VAV-A111-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,1680.72,2770.56,1715.28"
CV-VAV-A112-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,1715.28,2770.56,1749.6"
CV-VAV-A113-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,1749.6,2770.56,1784.16"
CV-VAV-A114-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,1784.16,2770.56,1818.72"
CV-VAV-A115-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,1818.72,2770.56,1853.04"
CV-VAV-A116-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,1853.04,2770.56,1887.6"
CV-VAV-A117-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,1887.6,2770.56,1922.16"
CV-VAV-A118-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,1922.16,2770.56,1956.72"
CV-VAV-A201-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,1956.72,2770.56,1991.04"
CV-VAV-A202-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,1991.04,2770.56,2025.6"
CV-VAV-A203A-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,2025.6,2770.56,2060.16"
CV-VAV-A203B-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,2060.16,2770.56,2094.48"
CV-VAV-A204-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,2094.48,2770.56,2129.04"
CV-VAV-A205-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,2129.04,2770.56,2163.6"
CV-VAV-A206-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,2163.6,2770.56,2197.92"
CV-VAV-M101-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,755.52,776.88,790.0799999999999"
CV-VAV-M102-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,790.0799999999999,776.88,824.6399999999999"
CV-VAV-M103-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,824.6399999999999,776.88,859.1999999999998"
CV-VAV-M104-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,859.1999999999998,776.88,893.52"
CV-VAV-M105-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,893.52,776.88,928.0799999999999"
CV-VAV-M106-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,928.0799999999999,776.88,962.6399999999999"
CV-VAV-M107-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,962.6399999999999,776.88,996.96"
CV-VAV-M108-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,996.96,776.88,1031.52"
CV-VAV-M109-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1031.52,776.88,1066.08"
CV-VAV-M110-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1066.08,776.88,1100.6399999999999"
CV-VAV-M111-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1100.6399999999999,776.88,1134.96"
CV-VAV-M112-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1134.96,776.88,1169.52"
CV-VAV-M113-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1169.52,776.88,1204.08"
CV-VAV-M114-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1204.08,776.88,1238.4"
CV-VAV-M115-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1238.4,776.88,1272.96"
CV-VAV-M116-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1272.96,776.88,1307.52"
CV-VAV-M117-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1307.52,776.88,1341.84"
CV-VAV-M118-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1341.84,776.88,1376.4"
CV-VAV-M119-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1376.4,776.88,1410.96"
CV-VAV-M120-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,1410.96,776.88,1445.52"
