tag,description,qty,unit,sheet_id,table_title,bbox_px
BI05,MINIMUM OA DAMPER POSITION CLOSED (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1827.118,3434.88,1861.438"
BI06,MINIMUM OA DAMPER POSITION OPEN (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1861.438,3434.88,1895.998"
BI07,REDUNDANT OA DAMPER POSITION CLOSED (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1895.998,3434.88,1930.56"
BI08,REDUNDANT OA DAMPER POSITION OPEN (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1930.56,3434.88,1965.118"
BI09,AHU-T1A MERV 8 FILTER STATUS,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1965.118,3434.88,1999.438"
BI10,AHU-T1A SA DUCT SMOKE DETECTOR,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1999.438,3434.88,2033.998"
BI11,AHU-T1A MERV 13 FILTER STATUS,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,2033.998,3434.88,2068.558"
BI12,AHU-T1A VFD FAULT STATUS,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,2068.558,3434.88,2102.8779999999997"
BI13,AHU-T1A RA ISOLATION DAMPER POSITION CLOSED (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,2102.8779999999997,3434.88,2137.438"
BI14,AHU-T1A RA ISOLATION DAMPER POSITION OPEN (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,2137.438,3434.88,2172"
BI15,AHU-T1B RA ISOLATION DAMPER POSITION CLOSED (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,2172,3434.88,2206.56"
BI16,AHU-T1B RA ISOLATION DAMPER POSITION OPEN (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,2206.56,3434.88,2240.88"
BI17,AHU-T1B SA ISOLATION DAMPER POSITION CLOSED (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,2240.88,3434.88,2275.438"
BI18,AHU-T1B SA ISOLATION DAMPER POSITION OPEN (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,2275.438,3434.88,2309.998"
BI19,AHU-T1A SA ISOLATION DAMPER POSITION CLOSED (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,2309.998,3434.88,2344.318"
BI20,AHU-T1A SA ISOLATION DAMPER POSITION OPEN (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,2344.318,3434.88,2378.88"
